# qSol1, qSol2, qSol3, t
0.00000e+00, -1.38778e-17, 5.00000e-01, 0.00000e+00
8.30559e-06, 4.97505e-03, 4.95017e-01, 2.00000e-02
1.31565e-04, 1.96032e-02, 4.80265e-01, 4.00000e-02
6.54996e-04, 4.30111e-02, 4.56330e-01, 6.00000e-02
2.02200e-03, 7.38012e-02, 4.24155e-01, 8.00000e-02
4.78875e-03, 1.10135e-01, 3.84993e-01, 1.00000e-01
9.56559e-03, 1.49842e-01, 3.40350e-01, 1.20000e-01
1.69496e-02, 1.90548e-01, 2.91904e-01, 1.40000e-01
2.74538e-02, 2.29816e-01, 2.41432e-01, 1.60000e-01
4.14381e-02, 2.65287e-01, 1.90721e-01, 1.80000e-01
5.90486e-02, 2.94818e-01, 1.41490e-01, 2.00000e-01
8.01689e-02, 3.16605e-01, 9.53071e-02, 2.20000e-01
1.04389e-01, 3.29279e-01, 5.35276e-02, 2.40000e-01
1.30994e-01, 3.31987e-01, 1.72373e-02, 2.60000e-01
1.58978e-01, 3.24428e-01, -1.27857e-02, 2.80000e-01
1.87074e-01, 3.06860e-01, -3.60923e-02, 3.00000e-01
2.13813e-01, 2.80077e-01, -5.25667e-02, 3.20000e-01
2.37597e-01, 2.45349e-01, -6.24126e-02, 3.40000e-01
2.56790e-01, 2.04334e-01, -6.61239e-02, 3.60000e-01
2.69811e-01, 1.58972e-01, -6.44424e-02, 3.80000e-01
2.75241e-01, 1.11361e-01, -5.83038e-02, 4.00000e-01
2.71917e-01, 6.36259e-02, -4.87778e-02, 4.20000e-01
2.59024e-01, 1.77899e-02, -3.70042e-02, 4.40000e-01
2.36166e-01, -2.43446e-02, -2.41304e-02, 4.60000e-01
2.03416e-01, -6.12984e-02, -1.12522e-02, 4.80000e-01
1.61345e-01, -9.19952e-02, 6.37201e-04, 5.00000e-01
1.11019e-01, -1.15812e-01, 1.06885e-02, 5.20000e-01
5.39703e-02, -1.32602e-01, 1.82258e-02, 5.40000e-01
-7.86192e-03, -1.42679e-01, 2.27628e-02, 5.60000e-01
-7.22148e-02, -1.46781e-01, 2.40064e-02, 5.80000e-01
-1.36606e-01, -1.45997e-01, 2.18481e-02, 6.00000e-01
-1.98456e-01, -1.41682e-01, 1.63444e-02, 6.20000e-01
-2.55215e-01, -1.35346e-01, 7.68882e-03, 6.40000e-01
-3.04496e-01, -1.28540e-01, -3.82191e-03, 6.60000e-01
-3.44202e-01, -1.22743e-01, -1.78245e-02, 6.80000e-01
-3.72637e-01, -1.19254e-01, -3.39259e-02, 7.00000e-01
-3.88598e-01, -1.19098e-01, -5.17366e-02, 7.20000e-01
-3.91448e-01, -1.22950e-01, -7.08990e-02, 7.40000e-01
-3.81149e-01, -1.31098e-01, -9.11078e-02, 7.60000e-01
-3.58276e-01, -1.43412e-01, -1.12122e-01, 7.80000e-01
-3.23985e-01, -1.59369e-01, -1.33767e-01, 8.00000e-01
-2.79958e-01, -1.78080e-01, -1.55928e-01, 8.20000e-01
-2.28323e-01, -1.98369e-01, -1.78534e-01, 8.40000e-01
-1.71540e-01, -2.18852e-01, -2.01536e-01, 8.60000e-01
-1.12278e-01, -2.38043e-01, -2.24882e-01, 8.80000e-01
-5.32807e-02, -2.54465e-01, -2.48486e-01, 9.00000e-01
2.77534e-03, -2.66764e-01, -2.72203e-01, 9.20000e-01
5.34120e-02, -2.73806e-01, -2.95802e-01, 9.40000e-01
9.64716e-02, -2.74777e-01, -3.18952e-01, 9.60000e-01
1.30219e-01, -2.69241e-01, -3.41208e-01, 9.80000e-01
1.53418e-01, -2.57193e-01, -3.62018e-01, 1.00000e+00
1.65385e-01, -2.39065e-01, -3.80723e-01, 1.02000e+00
1.66002e-01, -2.15713e-01, -3.96592e-01, 1.04000e+00
1.55708e-01, -1.88369e-01, -4.08843e-01, 1.06000e+00
1.35455e-01, -1.58571e-01, -4.16687e-01, 1.08000e+00
1.06642e-01, -1.28063e-01, -4.19376e-01, 1.10000e+00
7.10237e-02, -9.86848e-02, -4.16251e-01, 1.12000e+00
3.06015e-02, -7.22514e-02, -4.06790e-01, 1.14000e+00
-1.24886e-02, -5.04296e-02, -3.90657e-01, 1.16000e+00
-5.60961e-02, -3.46229e-02, -3.67741e-01, 1.18000e+00
-9.81692e-02, -2.58708e-02, -3.38185e-01, 1.20000e+00
-1.36857e-01, -2.47693e-02, -3.02406e-01, 1.22000e+00
